Nama_Tempat,Photo_URL,Gmaps_Link,Waktu_Buka,Price_Items,Facilities
Ngrumput Beach,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/741/2024/02/29/Screenshot_2413-368591400.png,https://maps.app.goo.gl/MAzHCeMtJiWzcVot8,Check In - Out : 12.00 - 11.08,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir
Camp Ground Bukit Sikunir,https://ak-d.tripcdn.com/images/0HJ5q12000i319z8fA461.jpg,https://maps.app.goo.gl/tHrapzErUS6LbVS68,Check In - Out : 12.00 - 11.09,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir
Camping Mawar,https://asset.kompas.com/crops/q-JVZDgkznfnUxTZmgsQQhAY5DU=/6x9:707x476/1200x800/data/photo/2024/05/10/663e2958926ff.jpeg,https://maps.app.goo.gl/y1k1Zi7D6HCAaccu9,Check In - Out : 12.00 - 11.10,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir
Ratan Lurung Basecamp Gedongsongo,https://i.ytimg.com/vi/6raFcfJkUu8/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLA_3aLZla1-q22bcc8NS06lp5X1lw,https://maps.app.goo.gl/exPnTJH47U3HMnqH6,Check In - Out : 12.00 - 11.11,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir
Camp Ground Puncak Ungaran,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg0lFByz5IrgTdtftV35sdj3S2ljKeJJH3JnhB9ziTpS_aFC5QJMlWjZIaYWghZvo2LXcgM4KCrWFC4snrnBBXqAVIKtIbdrFuLJaN5i3UwadMJwOKmtNuDvp_JWHbpzUOZ-XfvXHmQEtI/s1600/gunung+ungaran+1.jpg,https://maps.app.goo.gl/mTXEUH8AVeVtYEj26,Check In - Out : 12.00 - 11.12,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir
Telaga Cebong,https://i1.wp.com/kemana-lagi.com/wp-content/uploads/2018/03/1520594908-picsay.jpg?w=600&ssl=1,https://maps.app.goo.gl/zjxwLACnCy5LZHgEA,Check In - Out : 12.00 - 11.13,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir
CAUB (Camp Area Umbul Bengkok),https://yukdolan.com/wp-content/uploads/2023/02/Camp-Area-Umbul-Bengkok-Baturraden.jpg,https://maps.app.goo.gl/9k4TyT7pSCaEhbwv6,Check In - Out : 12.00 - 11.14,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir
Camping Ground Pantai Menganti,https://thumbs.tvonenews.com/thumbnail/2022/10/17/634cb76ee338b-lokasi-camping-ground-di-pantai-menganti-saat-weekend-minggu-16102022_1265_711.jpg,https://maps.app.goo.gl/Kc5Sk5TTEBTS3Z4F8,Check In - Out : 12.00 - 11.15,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir
Bukit Camping Menganti Beach,https://awsimages.detik.net.id/community/media/visual/2022/10/09/suasana-di-pantai-menganti-kebumen-2_169.jpeg?w=620,https://maps.app.goo.gl/UHEjyf92UYXoJA5T8,Check In - Out : 12.00 - 11.16,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir
Potrobayan River Camp,https://awsimages.detik.net.id/community/media/visual/2024/05/09/camping-2_169.jpeg?w=600&q=90,https://maps.app.goo.gl/RPk2iuZavtUWZ3B8A,"Camping : Jam 14.00 - 11.00 WIB
Jasa pasang dan sewa alat kemah (Paling lambat booking H-3 dan tidak bisa sewa ditempat)
Khusus jasa pasang tenda dari luar tidak menerima bongkar","[{""item"":""Biaya Camping"",""harga"":10000,""kategori"":""biaya wajib""},{""item"":""Parkir (Motor)"",""harga"":5000,""kategori"":""biaya wajib""},{""item"":""Parkir (Mobil)"",""harga"":10000,""kategori"":""biaya wajib""},{""item"":""Tenda Kapasitas 1-2"",""harga"":30000,""kategori"":""sewa pokok""},{""item"":""Tenda Kapasitas 3-4"",""harga"":50000,""kategori"":""sewa mewah""},{""item"":""Tenda Kapasitas 4-5"",""harga"":60000,""kategori"":""sewa mewah""},{""item"":""Tenda Kapasitas 5-6"",""harga"":70000,""kategori"":""sewa mewah""},{""item"":""Tenda Kapasitas 6-8"",""harga"":90000,""kategori"":""sewa mewah""},{""item"":""Jasa Pasang"",""harga"":20000,""kategori"":""layanan""},{""item"":""Matras"",""harga"":8000,""kategori"":""sewa pokok""},{""item"":""Lampu Tenda"",""harga"":15000,""kategori"":""sewa pokok""},{""item"":""Kompor (Grill)"",""harga"":20000,""kategori"":""sewa mewah""},{""item"":""Kompor (Kecil)"",""harga"":15000,""kategori"":""sewa pokok""},{""item"":""Gas Portable"",""harga"":13000,""kategori"":""sewa pokok""},{""item"":""Nesting (Panci Kecil)"",""harga"":15000,""kategori"":""sewa pokok""},{""item"":""Grill Pan"",""harga"":20000,""kategori"":""sewa mewah""},{""item"":""Kursi Lipat"",""harga"":20000,""kategori"":""sewa pokok""},{""item"":""Meja Lipat"",""harga"":20000,""kategori"":""sewa pokok""},{""item"":""Sleeping Bag"",""harga"":10000,""kategori"":""sewa pokok""}]",Tempat Parking | Toilet | Colokan Listrik | Mushola
Pantai Wohkudu,https://nagantour.com/wp-content/uploads/2023/07/camping-di-pantai-wohkudu.webp,https://maps.app.goo.gl/75djSSyTixtXgkvR9,Check In - Out : 12.00 - 11.00,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir
Watu Kodok Beach,https://pix10.agoda.net/hotelImages/35077710/0/fd9c4708905d74966d8b5126a5edc700.jpg?ce=0&s=414x232&ar=16x9,https://maps.app.goo.gl/AgdcLhxVKd1xp4sm9,Check In - Out : 12.00 - 11.01,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir
Ledok Sambi Ecopark,https://asset.kompas.com/crops/f0YKaHby3_RUheIfdhYwLzp9ZkM=/0x375:2832x2263/750x500/data/photo/2020/12/16/5fd96dab63fa0.jpg,https://maps.app.goo.gl/aq16BDawr1S4HKT58,Check In - Out : 12.00 - 11.02,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir
Campground Sekipan,https://asset-2.tribunnews.com/solo/foto/bank/images/bumi-sekipan-di-kecamatan-tawangmangu-kabupaten-karangany.jpg,https://maps.app.goo.gl/W1twPYz2aSSaFRZKA,Check In - Out : 12.00 - 11.03,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir
Telaga Dringo,https://magelangekspres.disway.id/upload/cc8cdf6f88c796625c8a045c48d9814d.jpeg,https://maps.app.goo.gl/LydXFga2U725Ken26,Check In - Out : 12.00 - 11.04,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir
Bumi Perkemahan Desa Kajar,https://wisato.id/wp-content/uploads/2022/02/f12.jpg,https://maps.app.goo.gl/MNXZcoaxzLnQisnc7,Check In - Out : 12.00 - 11.05,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir
Camping Ground Karimunjawa,https://www.thehappinezzhills.com/wp-content/uploads/2023/12/Karimunjawa-Camping.webp,https://maps.app.goo.gl/uAxaVbmkPWd6XjBf8,Check In - Out : 12.00 - 11.06,"[{""item"":""Paket Camping Ground One Day (2 Pax)"",""harga"":1450000,""kategori"":""layanan""},{""item"":""Paket Camping Ground One Day (4 Pax)"",""harga"":1190000,""kategori"":""layanan""},{""item"":""Paket Camping Ground One Day (6 Pax)"",""harga"":990000,""kategori"":""layanan""},{""item"":""Paket Camping Ground One Day (8 Pax)"",""harga"":924000,""kategori"":""layanan""},{""item"":""Paket Camping Ground One Day (10 Pax)"",""harga"":890000,""kategori"":""layanan""}]",Transportasi Kapal Wisata | Tenda dan Peralatan Tidur | Eksplorasi Pulau | Snorkling | Pemandu Lokal | Makan 3 Kali Sehari | BBQ Malam di Pantai | Dokumentasi | Speargun Tradisional
Ekowisata Kali Talang,https://blog.pigijo.com/wp-content/uploads/2023/01/Aktivitas-Wisata-di-Ekowisata-Kali-Talang.jpg,https://maps.app.goo.gl/TAG7NSrqQFBr57jH6,Check In - Out : 12.00 - 11.07,"[{""item"":""Tiket Masuk Pelajar Hari Biasa (min 5 orang)"",""harga"":12000,""kategori"":""biaya wajib""},{""item"":""Tiket Masuk Pelajar Hari Libur (min 5 orang)"",""harga"":17000,""kategori"":""biaya wajib""},{""item"":""Tiket Masuk Umum Hari Biasa"",""harga"":17000,""kategori"":""biaya wajib""},{""item"":""Tiket Masuk Umum Hari Libur"",""harga"":22000,""kategori"":""biaya wajib""},{""item"":""Tiket Masuk WNA"",""harga"":157000,""kategori"":""biaya wajib""}]",Gazebo | Toilet | Pendopo | Gardu Pandang
Becici Peak,https://jelajahbantul.bantulkab.go.id/media/user_25/841/18306202387457355_tmp_file,https://maps.app.goo.gl/x8SPdcLqoAHoyoBF7,Check In - Out : 12.00 - 11.08,"[{""item"":""Tiket Masuk"",""harga"":7000,""kategori"":""biaya wajib""},{""item"":""Parkir (Motor)"",""harga"":2000,""kategori"":""biaya wajib""},{""item"":""Parkir (Mobil)"",""harga"":5000,""kategori"":""biaya wajib""}]",Area Parkir | Toilet | Gardu Pandang | Gazebo | Tempat Cuci Tangan | Ruang Pertemuan | Tempat Sampah | Foodcourt | Tempat Ibadah
